pc,delta_id,raw_delta
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,8407,-36170466647016
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,7485,-36170466715104
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,4651,-36170466924632
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,3728,-36170466992720
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,2809,-36170467060808
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,10798,-36170466470312
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,9877,-36170466538400
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,7044,-36170466747928
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,6123,-36170466816016
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,5202,-36170466884104
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,2365,-36170467093632
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,1444,-36170467161720
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,8513,-36170466639312
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,7593,-36170466707400
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,4758,-36170466916928
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,3836,-36170466985016
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,2917,-36170467053104
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,83,-36170467262632
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,9985,-36170466530696
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,7151,-36170466740224
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,6230,-36170466808312
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,5309,-36170466876400
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,2472,-36170467085928
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,1550,-36170467154016
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,8619,-36170466631608
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,7698,-36170466699696
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,4862,-36170466909224
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,3940,-36170466977312
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,3017,-36170467045400
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,186,-36170467254928
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,10086,-36170466522992
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,6330,-36170466800608
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,5412,-36170466868696
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,2572,-36170467078224
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,1654,-36170467146312
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,734,-36170467214400
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,8723,-36170466623904
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,7802,-36170466691992
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,4967,-36170466901520
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,4045,-36170466969608
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,3123,-36170467037696
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,292,-36170467247224
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135490,10193,-36170466515288
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135536,10825,8
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
104562297135551,10823,0
104562297135554,10824,4
104562297135711,10823,0
