pc,delta_id,raw_delta
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
98735931838888,0,8
98735931838931,0,8
